# event jet Delta kt z psi m2 multiplicity 
3 3 0.0443291 0.918939 0.108381 -0.284062 20.6012 11
3 3 0.040681 0.466625 0.0672584 1.06559 12.0149 10
3 3 0.032956 0.0995116 0.0189821 -2.96779 7.83597 8
3 3 0.0283752 0.847012 0.191281 -1.09421 6.17886 7
3 3 0.0195426 1.01896 0.413132 2.27746 1.97564 5
3 3 0.00384669 0.0969124 0.340147 -2.65526 0.0182196 2
3 4 0.269703 0.674047 0.0109252 0.625734 310.875 33
3 4 0.267298 0.340987 0.00563745 -0.669458 211.726 29
3 4 0.197993 0.680822 0.015279 2.505 190.153 28
3 4 0.136493 0.556774 0.0184059 -1.95959 148.313 24
3 4 0.109263 0.64526 0.0271457 1.02372 108.611 19
3 4 0.0940252 1.00606 0.0505478 2.59837 90.2634 16
3 4 0.0911241 0.136383 0.00744681 -0.677787 53.6942 13
3 4 0.039302 0.510045 0.0650538 -2.34218 50.8335 12
3 4 0.0332222 0.0061469 0.000992019 0.98978 43.7687 10
3 4 0.0281101 0.414694 0.079175 -1.33335 26.2546 9
3 4 0.0173741 0.929347 0.311751 -2.7387 21.5098 7
3 4 0.0143122 0.778881 0.460844 1.58736 13.4497 6
3 4 0.0101945 0.241022 0.371331 -2.11901 0.207152 3
3 4 0.00637231 0.0534468 0.209543 -1.3588 0.0354196 2
3 5 0.37698 9.93936 0.119513 -1.58102 940.561 29
3 5 0.368309 0.0929757 0.00129958 2.01221 84.6042 20
3 5 0.165849 0.0679888 0.00211314 2.54601 63.0398 19
3 5 0.0999331 0.196089 0.0101359 -1.24231 60.7297 18
3 5 0.0959974 0.60525 0.032897 0.171473 54.4826 17
3 5 0.0854037 0.0812366 0.00513193 2.23537 41.7471 15
3 5 0.0831354 0.210132 0.0137071 1.14191 40.2595 14
3 5 0.0459076 2.53724 0.30388 -1.82845 36.5715 13
3 5 0.0368031 0.0447799 0.00961029 0.00655884 3.98268 6
3 5 0.0293361 0.270332 0.0734888 2.24022 3.73977 5
3 5 0.02491 0.628793 0.217274 -1.30962 2.38148 3
3 5 0.0129931 0.315763 0.267245 -2.55215 0.678884 2
3 6 0.214517 0.182865 0.00590776 1.64644 131.32 14
3 6 0.159495 1.29577 0.0566001 3.00814 121.574 13
3 6 0.12117 0.511194 0.0311552 -1.75253 54.4194 10
3 6 0.0418219 1.00918 0.183913 0.655232 11.9473 6
3 6 0.0280348 0.123045 0.0409901 -1.90429 0.848608 4
3 6 0.0130053 0.536266 0.401552 2.52278 0.474098 3
3 6 0.00763955 0.015607 0.0332437 -2.22815 0.0272332 2
3 7 0.360748 2.52409 0.142998 -0.33741 127.902 32
3 7 0.30265 0.0958427 0.00755197 -1.7477 60.3493 23
3 7 0.206349 2.18244 0.253127 -3.05353 58.6528 21
3 7 0.172493 2.07197 0.384866 1.37909 27.4657 14
3 7 0.126262 0.547766 0.225679 0.2781 2.80805 7
3 7 0.0523273 0.103739 0.133179 -0.920165 1.20735 4
3 7 0.0533348 0.272819 0.396349 -2.38539 0.858853 3
3 7 0.0356326 0.0652338 0.234975 0.667227 0.420456 2
3 8 0.313488 5.49253 0.422559 0.555409 169.284 29
3 8 0.252573 2.50061 0.413277 -1.29642 29.4374 15
3 8 0.185352 0.526516 0.20163 -2.73047 10.4497 12
3 8 0.155437 0.320945 0.18337 -0.666808 5.67524 7
