# event jet log1overDelta logkt z Delta kt
77 0 3.06822 -1.26221 0.458652 0.0465038 0.283029
77 0 3.36011 -2.73983 0.258838 0.0347315 0.0645812
79 0 1.02645 0.603347 0.0873015 0.358277 1.82823
79 0 1.24458 -1.23438 0.0189236 0.288063 0.291014
79 0 1.59648 -1.62588 0.0185358 0.202608 0.196738
79 0 1.87933 0.234348 0.160812 0.152692 1.26408
79 0 1.9171 0.8479 0.367408 0.147032 2.33474
79 0 2.68594 -0.271087 0.409144 0.0681573 0.76255
79 0 2.92759 -1.99282 0.157604 0.0535259 0.13631
79 0 3.62745 -2.43775 0.241413 0.0265839 0.0873568
87 0 1.09217 -0.261582 0.0204282 0.335489 0.769833
87 0 1.28076 -2.03473 0.00427592 0.277826 0.130716
87 0 1.75116 0.742242 0.110337 0.173572 2.10064
87 0 2.78348 0.344268 0.233803 0.0618229 1.41096
87 0 3.28134 0.201536 0.43523 0.037578 1.22328
87 0 3.65766 -3.42571 0.0298532 0.0257927 0.0325263
87 0 4.97179 -2.32412 0.344574 0.00693076 0.0978698
88 0 1.18977 0.25971 0.0301834 0.30429 1.29655
88 0 1.42186 -0.855831 0.0128605 0.241264 0.42493
88 0 1.44198 -2.10022 0.0038295 0.236459 0.12243
88 0 2.79339 -0.252771 0.094189 0.0612133 0.776645
88 0 3.26935 -0.0633498 0.202265 0.0380311 0.938615
88 0 4.2049 -2.59912 0.0511792 0.0149222 0.0743387
88 0 4.38037 -1.8416 0.137119 0.0125208 0.158563
88 0 4.67715 -1.24475 0.388372 0.00930546 0.288013
88 0 5.69316 -3.14659 0.261846 0.00336893 0.0429983
89 0 1.29643 0.240035 0.172286 0.273506 1.27129
89 0 1.42465 0.651804 0.355694 0.240592 1.919
89 0 2.79437 -0.923321 0.44941 0.0611535 0.397198
89 0 2.9969 -2.99956 0.125323 0.0499414 0.0498088
90 0 0.972949 -1.05898 0.0150081 0.377967 0.346809
90 0 1.61181 0.666577 0.161981 0.199525 1.94756
90 0 1.78406 -0.978851 0.0442752 0.167955 0.375742
90 0 2.67728 -1.01968 0.108623 0.06875 0.360709
90 0 2.76304 -3.62478 0.0098113 0.0630996 0.026655
90 0 3.38813 -0.909146 0.279809 0.0337719 0.402868
90 0 3.55771 -1.51586 0.250922 0.028504 0.219618
93 0 1.19202 0.0224306 0.0626105 0.303607 1.02268
93 0 1.35963 1.50082 0.344903 0.256756 4.48538
93 0 2.08854 -1.86341 0.0377452 0.123868 0.155143
93 0 2.36844 -4.0099 0.00606619 0.0936266 0.0181353
93 0 3.01348 -0.322213 0.464718 0.0491205 0.724544
98 0 1.2147 -0.353552 0.0998717 0.2968 0.70219
98 0 1.66521 -5.2598 0.00128835 0.189151 0.00519633
98 0 1.95192 -2.17284 0.0376382 0.142001 0.113854
102 0 0.926904 0.468758 0.0604898 0.395777 1.59801
102 0 1.03817 -0.567495 0.0255002 0.354101 0.566944
102 0 1.19556 -1.12955 0.0174502 0.302535 0.32318
102 0 1.32693 -2.948 0.0032865 0.26529 0.0524444
102 0 2.0364 -0.239193 0.100584 0.130498 0.787263
102 0 2.07187 -1.22344 0.0432965 0.12595 0.294218
102 0 2.73663 0.267076 0.390376 0.0647883 1.30614
102 0 2.86706 -1.39986 0.137756 0.0568659 0.246632
102 0 3.64538 -1.49844 0.315251 0.0261116 0.223479
102 0 3.9462 -2.657 0.19526 0.0193279 0.0701582
103 0 1.10699 -1.92385 0.00625463 0.330554 0.146043
103 0 1.68082 -2.00826 0.0102679 0.186222 0.134222
103 0 2.06062 0.182609 0.135526 0.127375 1.20034
103 0 2.71628 -0.83132 0.109564 0.0661206 0.435474
103 0 3.54316 -2.5804 0.0489272 0.0289218 0.0757438
103 0 3.53863 -0.639569 0.356662 0.0290532 0.52752
103 0 3.82647 -1.99511 0.1906 0.0217863 0.135999
103 0 4.09892 -1.6508 0.436316 0.0165906 0.191896
103 0 4.22703 -4.41151 0.0556469 0.0145957 0.0121368
106 0 0.981254 -0.763137 0.0100197 0.374841 0.466201
106 0 1.38197 0.698577 0.0650621 0.251083 2.01089
106 0 1.48624 -0.384755 0.0261422 0.226222 0.680617
106 0 1.89717 -1.22055 0.0175489 0.149992 0.295068
106 0 2.2596 1.53705 0.404417 0.104393 4.65083
106 0 2.38676 -4.31297 0.00222067 0.0919268 0.0133937
106 0 2.95775 -1.82906 0.0472234 0.0519354 0.160565
106 0 3.38975 -0.297341 0.353171 0.0337169 0.742791
106 0 3.55213 -1.39984 0.213256 0.0286635 0.246637
107 0 1.2248 -2.21978 0.00339718 0.293816 0.108633
107 0 1.49565 -0.515837 0.0245496 0.224103 0.597001
107 0 1.72346 -3.78569 0.00120142 0.178447 0.0226932
107 0 1.88016 0.164076 0.073049 0.152566 1.1783
107 0 2.11673 -3.21094 0.0034162 0.120425 0.0403188
107 0 2.9102 -1.42932 0.0450164 0.0544649 0.239471
107 0 3.73813 -1.36147 0.115454 0.0237986 0.256285
107 0 5.30216 -2.98469 0.123022 0.00498081 0.0505552
111 0 0.931242 -0.978819 0.0248083 0.394064 0.375755
111 0 1.07613 0.334761 0.109254 0.340913 1.39761
111 0 1.81147 0.0375134 0.189899 0.163414 1.03823
111 0 1.85981 -1.03958 0.0837437 0.155702 0.353602
111 0 2.25487 -0.0796573 0.354031 0.104888 0.923433
111 0 4.05887 -2.23695 0.384941 0.0172686 0.106784
117 0 1.09376 -2.87998 0.003166 0.334954 0.0561357
117 0 1.25428 -1.66881 0.0125182 0.285282 0.188472
117 0 1.50885 -0.161525 0.0737372 0.221165 0.850845
117 0 1.65392 -0.513272 0.0647371 0.191299 0.598534
117 0 2.22927 -2.66106 0.0143644 0.107607 0.0698739
117 0 2.90645 0.098149 0.45283 0.0546694 1.10313
117 0 3.56474 -2.15147 0.168537 0.0283043 0.116313
117 0 5.04896 -3.66443 0.196954 0.00641602 0.0256187
120 0 1.42395 -1.15961 0.00765437 0.240761 0.313608
120 0 2.16498 -0.283142 0.03887 0.114752 0.753413
120 0 2.40469 -1.2036 0.0204717 0.0902936 0.300113
120 0 2.50556 -1.32021 0.020573 0.08163 0.267078
120 0 3.37208 -0.958162 0.0717584 0.0343181 0.383597
120 0 3.60034 -0.313738 0.185007 0.0273145 0.73071
120 0 3.67922 -0.235684 0.265576 0.0252428 0.79003
123 0 0.92514 -0.549997 0.02027 0.396476 0.576952
123 0 1.1913 -1.37141 0.0118737 0.303825 0.253749
123 0 1.39902 -1.67638 0.0108993 0.246838 0.187049
123 0 1.54898 0.456553 0.107988 0.212464 1.57862
123 0 1.94379 0.359368 0.162885 0.143161 1.43242
123 0 2.6563 -0.381106 0.18916 0.0702074 0.683105
123 0 2.88585 -2.31853 0.0422812 0.0558076 0.098418
123 0 3.28567 -0.433636 0.433657 0.0374154 0.648148
123 0 4.09161 -2.78959 0.162515 0.0167123 0.0614461
123 0 4.33735 -3.37221 0.138553 0.0130711 0.0343137
123 0 5.06021 -3.09912 0.435433 0.00634421 0.0450887
126 0 1.21501 1.63258 0.357338 0.296707 5.11705
126 0 1.66694 -2.15495 0.0197877 0.188823 0.115909
126 0 1.63022 0.452859 0.263285 0.195886 1.5728
126 0 2.39123 -0.0640546 0.456164 0.0915173 0.937954
126 0 2.56062 -1.69633 0.19418 0.0772571 0.183356
126 0 3.56375 -2.10702 0.43576 0.0283323 0.1216
126 0 4.11668 -3.54182 0.319736 0.0162985 0.0289606
128 0 1.05705 -0.0522413 0.0279122 0.34748 0.9491
128 0 1.28443 -0.965281 0.0144631 0.27681 0.380876
128 0 1.65521 -0.442014 0.0358799 0.191052 0.64274
128 0 1.85459 -0.551797 0.0406858 0.156518 0.575914
128 0 2.0033 -1.48049 0.0194416 0.13489 0.227525
128 0 2.07794 -0.579163 0.0525971 0.125188 0.560367
128 0 2.72039 -0.223315 0.150614 0.0658488 0.799863
128 0 2.81848 -1.00664 0.0893635 0.0596968 0.365444
128 0 3.37233 -0.837302 0.202236 0.0343097 0.432877
128 0 3.66568 -1.06554 0.270557 0.0255869 0.344541
151 0 1.23753 -0.389571 0.107314 0.290099 0.677348
151 0 1.39247 -0.807762 0.0921805 0.248461 0.445855
151 0 2.05083 -1.65648 0.0838917 0.128628 0.19081
151 0 2.12352 -0.178449 0.431633 0.119609 0.836567
151 0 2.65483 -1.19155 0.468901 0.0703111 0.303752
152 0 1.17759 -2.88859 0.00772409 0.30802 0.0556549
152 0 1.74619 -0.702823 0.122296 0.174438 0.495185
152 0 2.13034 -2.4742 0.0347959 0.118797 0.0842306
152 0 2.37285 -1.46092 0.126547 0.0932148 0.232022
152 0 2.54953 -2.76918 0.0467279 0.0781183 0.0627137
152 0 2.85674 -1.68463 0.197121 0.0574558 0.185513
152 0 3.37823 -2.48568 0.185638 0.0341078 0.0832693
156 0 1.29297 0.0598193 0.0619578 0.274453 1.06164
156 0 1.90433 0.474952 0.184337 0.148922 1.60794
156 0 2.04518 -2.34794 0.0154615 0.129357 0.0955657
156 0 2.3036 -0.158304 0.181522 0.0998985 0.853591
156 0 2.63584 -2.21399 0.0395767 0.0716584 0.109264
156 0 2.70224 -2.44473 0.0349612 0.0670548 0.0867493
156 0 3.25148 -0.753931 0.340281 0.0387168 0.470513
156 0 4.55646 -3.41623 0.13274 0.0104992 0.032836
157 0 0.956227 -0.308334 0.0200366 0.38434 0.73467
