# event jet Delta kt z psi m2 multiplicity 
4 9 0.118544 0.835087 0.353799 -3.03036 2.28938 3
4 9 0.0953961 0.209421 0.17059 -1.04653 0.621825 2
5 0 0.238773 0.145595 0.000939973 -1.68115 383.792 32
5 0 0.191384 1.17397 0.00946366 -0.526389 357.26 28
5 0 0.119237 0.928122 0.0121235 -1.24046 205.677 25
5 0 0.108982 0.10016 0.001449 1.584 125.25 21
5 0 0.105563 0.419359 0.00627223 2.70346 118.157 20
5 0 0.0809939 0.51965 0.0101936 -2.67308 85.8274 18
5 0 0.0621236 0.626258 0.016181 0.366154 57.1145 17
5 0 0.0258441 0.458942 0.0289724 -3.1252 31.1145 14
5 0 0.0157334 0.535876 0.0572266 -1.33571 22.7057 13
5 0 0.0122132 2.9046 0.42384 -2.34269 16.0017 10
5 0 0.00303174 0.299524 0.305593 -1.69317 0.494792 4
5 0 0.00212797 0.0798754 0.1672 0.55834 0.202024 3
5 0 0.00196061 0.0697327 0.190236 -0.656688 0.0447546 2
5 1 0.358919 0.783298 0.00403719 2.4581 1512.72 47
5 1 0.24066 0.593207 0.00457802 -0.758445 1026.2 44
5 1 0.192496 0.7085 0.00686728 1.46703 920.994 41
5 1 0.100765 12.6089 0.235086 1.48055 839.382 40
5 1 0.0926464 0.322062 0.00853789 -2.19326 123.98 25
5 1 0.0601444 1.59405 0.0656492 -0.426453 106.42 23
5 1 0.034788 0.253692 0.0193326 -2.12753 43.832 19
5 1 0.0267923 2.17335 0.219279 -0.8131 39.7826 18
5 1 0.0176719 1.38724 0.2718 -1.8717 10.1357 10
5 1 0.0122352 0.737533 0.286615 1.48668 2.42852 5
5 1 0.00906286 0.505073 0.371442 -3.00977 0.7181 4
5 1 0.00474596 0.197202 0.440599 -2.19357 0.147069 3
5 1 0.00359396 0.037251 0.19647 -0.638905 0.029918 2
6 0 0.258258 0.646692 0.0041131 -1.10058 612.794 29
6 0 0.209381 0.528454 0.00416246 -2.86537 493.642 27
6 0 0.195724 0.723458 0.00612136 2.0712 386.619 25
6 0 0.164601 0.0563008 0.000569935 0.609754 278.586 22
6 0 0.0773159 0.0116857 0.000251987 1.0717 239.873 21
6 0 0.0764133 2.29235 0.050021 -0.171086 239.271 20
6 0 0.0374524 1.44814 0.067867 -1.33516 103.096 15
6 0 0.0236675 5.12486 0.407709 2.85659 50.2098 10
6 0 0.0101757 0.536372 0.167567 -1.08261 3.16933 6
6 0 0.00777419 0.840773 0.413006 2.80614 1.35175 5
6 0 0.00505219 0.185059 0.238303 1.8904 0.135039 2
6 1 0.226724 0.108887 0.000934224 2.45798 1758.3 24
6 1 0.212941 5.71198 0.0521953 -2.4236 1723.3 23
6 1 0.17852 0.547182 0.00629207 -0.428359 789.297 18
6 1 0.147202 0.101647 0.0014265 1.25465 734.327 17
6 1 0.10502 0.410517 0.00808668 -1.5391 185.94 15
6 1 0.0365808 0.68863 0.0392607 2.77275 56.5392 14
6 1 0.0367015 1.71192 0.101254 -2.18352 41.4532 12
6 1 0.0328193 0.201001 0.0147925 -0.197123 9.42787 8
6 1 0.0115374 1.25635 0.266957 0.502192 5.34033 7
6 1 0.00762983 0.0470367 0.0206173 -2.51582 0.659657 5
6 1 0.00666084 0.0432457 0.0221703 -1.08265 0.543126 4
6 1 0.00338264 0.380293 0.392605 0.570807 0.450427 3
6 1 0.0019588 0.151484 0.44463 -1.44993 0.107549 2
6 2 0.266871 5.97317 0.154045 -1.05358 658.844 41
6 2 0.24242 2.70791 0.0906717 0.234582 310.134 30
6 2 0.233143 0.19163 0.00733612 2.58141 198.534 23
6 2 0.182434 0.827267 0.0407525 -2.60051 192.149 22
6 2 0.101467 1.27724 0.117875 0.316239 163.954 19
6 2 0.0962959 1.74735 0.192596 -1.07987 131.966 16
6 2 0.0683657 1.54207 0.296504 1.268 13.2907 11
6 2 0.0530926 0.150452 0.0529493 -2.0168 4.43794 8
6 2 0.0452515 0.707443 0.308385 2.90821 3.79802 6
6 2 0.029677 0.0916349 0.088065 0.853184 0.592782 4
6 2 0.0270749 0.0227567 0.0262868 -0.202829 0.259585 3
6 2 0.00778218 0.0205501 0.0848155 0.4974 0.234084 2
6 3 0.399338 0.271321 0.0161861 -1.45638 81.8434 10
6 3 0.311928 0.755897 0.0585588 2.65036 74.6862 9
6 3 0.184535 0.0380343 0.00529038 -1.48387 35.0612 7
6 3 0.162719 0.0744909 0.0118112 0.0542654 34.6024 6
6 3 0.0781486 0.236429 0.0789747 2.69172 17.089 5
6 3 0.0548332 0.617864 0.319262 0.11983 5.03811 4
6 3 0.0373014 0.3606 0.402336 -0.870534 2.83514 3
6 4 0.339766 2.00757 0.233695 3.10615 26.637 9
6 4 0.200494 1.2997 0.333153 -0.211627 7.34135 5
7 0 0.198483 0.134572 0.000775837 -1.45819 895.667 28
7 0 0.147485 2.48853 0.019319 -2.95332 841.128 26
