# event jet log1overDelta logkt z Delta kt
45 0 3.87707 -2.05152 0.275793 0.0207115 0.128539
45 0 4.59012 -3.38959 0.203833 0.0101517 0.0337224
46 0 0.979425 1.92944 0.191498 0.375527 6.88564
46 0 1.28446 1.96024 0.328696 0.276799 7.10106
46 0 1.4887 1.74751 0.485326 0.225667 5.74031
46 0 2.24811 -1.64389 0.0678149 0.105598 0.193227
46 0 2.4415 -1.22547 0.134127 0.0870304 0.293619
46 0 2.52816 -1.91032 0.0851493 0.0798058 0.148033
46 0 2.82223 -0.964125 0.321679 0.0594732 0.381317
46 0 3.33018 -1.99498 0.281091 0.0357868 0.136017
46 0 3.65544 -3.13064 0.173866 0.0258501 0.04369
49 0 1.50813 -1.09106 0.0131737 0.221324 0.335859
49 0 1.56633 -0.501106 0.025519 0.208811 0.60586
49 0 1.64349 -0.337308 0.0333171 0.193304 0.713689
49 0 1.75116 -0.841475 0.0231779 0.173572 0.431074
49 0 1.78646 -2.09564 0.0070131 0.167552 0.122992
49 0 2.34584 1.21129 0.33701 0.0957668 3.35783
49 0 2.42898 0.27189 0.215905 0.0881268 1.31244
49 0 2.62685 -1.62403 0.0503957 0.0723062 0.197102
49 0 3.26689 -0.39142 0.345211 0.0381249 0.676096
49 0 3.24859 -1.82243 0.123746 0.038829 0.161633
49 0 3.86492 -2.00444 0.218032 0.0209646 0.134736
49 0 3.90068 -2.2377 0.228846 0.0202282 0.106703
49 0 4.25545 -2.29326 0.400268 0.0141866 0.100937
50 0 0.995241 -0.580217 0.0732753 0.369634 0.559777
50 0 1.57355 -0.121286 0.222285 0.207309 0.885781
50 0 1.71499 -0.827842 0.162397 0.179966 0.436991
50 0 2.07196 -1.49212 0.142521 0.125939 0.224896
50 0 2.47129 -3.08122 0.0505757 0.0844758 0.0459032
51 0 1.21039 -0.603312 0.0351555 0.298082 0.546997
51 0 1.2529 -0.407175 0.0461781 0.285674 0.665528
51 0 2.09454 -1.69861 0.0308701 0.123127 0.182938
51 0 2.15677 -1.30252 0.0503675 0.115698 0.271846
51 0 2.71765 0.0765237 0.368951 0.0660298 1.07953
