# event jet log1overDelta logkt z Delta kt
44 0 1.98469 -0.0310763 0.10056 0.137424 0.969402
44 0 2.23398 -0.113667 0.132003 0.107101 0.892555
44 0 2.46507 -1.4168 0.0520573 0.0850027 0.242488
44 0 2.93169 -0.867049 0.151718 0.053307 0.42019
44 0 3.12902 -0.675529 0.263818 0.0437608 0.508887
44 0 3.50393 -0.892141 0.419814 0.0300791 0.409778
44 0 4.08298 -1.99047 0.43049 0.0168571 0.136632
45 0 1.49609 -1.69177 0.0106933 0.224004 0.184192
45 0 1.67914 -0.87069 0.0295002 0.186534 0.418663
45 0 1.80077 -3.05195 0.00387553 0.165171 0.0472667
45 0 1.88053 -0.0261715 0.0868315 0.152509 0.974168
45 0 2.65462 0.367806 0.305757 0.0703256 1.44456
45 0 2.70737 -1.7364 0.0566144 0.0667122 0.176153
45 0 3.05671 -4.49354 0.00540186 0.047042 0.011181
45 0 3.59539 -3.13094 0.0363586 0.02745 0.0436769
45 0 3.90439 -3.7701 0.0271209 0.0201532 0.0230497
45 0 4.12401 -1.26138 0.42671 0.0161795 0.283263
46 0 1.20196 -0.704501 0.0259776 0.300605 0.494355
46 0 1.99421 -4.06732 0.00204008 0.136121 0.0171233
46 0 2.22079 -0.313434 0.109412 0.108523 0.730933
46 0 2.47304 -0.585071 0.120465 0.0843281 0.557066
46 0 2.90586 -0.921346 0.150824 0.0547018 0.397983
46 0 2.9379 -0.138522 0.401173 0.0529768 0.870644
46 0 3.21583 -2.26077 0.105931 0.0401219 0.10427
47 0 1.04184 -1.66253 0.0116712 0.352803 0.189659
47 0 1.34638 -1.78875 0.0141075 0.260181 0.167169
47 0 1.70532 0.728896 0.254023 0.181715 2.07279
47 0 1.89814 -1.84385 0.0315097 0.149847 0.158207
47 0 2.21618 0.521669 0.475946 0.109025 1.68484
47 0 2.89713 -2.09942 0.130471 0.0551815 0.122527
47 0 3.46236 -4.65038 0.0205989 0.0313555 0.00955799
48 0 1.41169 -0.49112 0.069391 0.243732 0.611941
48 0 1.85906 0.411062 0.287324 0.15582 1.50842
48 0 2.17325 -1.11538 0.119873 0.113807 0.327792
48 0 3.10374 -1.33024 0.278588 0.044881 0.264413
49 0 1.16539 -1.10602 0.0445611 0.311802 0.330874
49 0 1.32753 -0.262248 0.127408 0.265132 0.76932
49 0 1.33471 -0.971165 0.0723332 0.263235 0.378642
49 0 2.13264 0.0826802 0.496053 0.118524 1.08619
49 0 2.11357 -0.641491 0.467975 0.120806 0.526507
51 0 0.968616 -0.50199 0.025582 0.379608 0.605325
51 0 2.00205 -2.43596 0.0106678 0.135058 0.087514
51 0 1.9028 1.34689 0.428249 0.149151 3.84546
51 0 2.14205 -2.18671 0.0277777 0.117414 0.112285
51 0 2.32179 -0.842678 0.131128 0.0980983 0.430556
51 0 2.69179 -0.189781 0.419516 0.0677594 0.82714
51 0 3.13891 -1.56318 0.286183 0.0433299 0.209469
51 0 4.13403 -3.55844 0.147469 0.0160181 0.0284831
52 0 1.09133 -1.17298 0.0306328 0.33577 0.309443
52 0 1.53852 -0.191933 0.131636 0.214698 0.825362
52 0 1.72921 0.149894 0.25755 0.177424 1.16171
52 0 2.18883 -1.43566 0.112443 0.112048 0.237958
52 0 2.9468 -2.94502 0.0597598 0.0525076 0.0526011
52 0 2.89923 -1.02175 0.414626 0.0550655 0.359964
53 0 2.01864 -1.57796 0.0686147 0.132836 0.206397
53 0 2.22765 -3.10444 0.0197275 0.107781 0.0448498
53 0 3.25438 -1.65428 0.239557 0.0386047 0.191229
53 0 3.99536 -2.37937 0.320063 0.0184008 0.0926087
56 0 1.33118 -2.28111 0.00894495 0.264164 0.102171
56 0 1.48831 -0.933522 0.0406113 0.225755 0.393167
56 0 1.82459 -2.85749 0.00865223 0.161284 0.0574126
56 0 2.36191 -1.16302 0.0812892 0.0942399 0.312542
56 0 2.49746 -1.05679 0.112678 0.0822935 0.347568
56 0 3.6361 -1.94634 0.162897 0.0263549 0.142795
59 0 1.09289 0.88048 0.117888 0.335247 2.41206
59 0 1.26901 -0.0511813 0.0627556 0.281109 0.950106
59 0 1.56913 0.102084 0.105153 0.208226 1.10748
59 0 1.83928 0.517704 0.232938 0.158932 1.67817
59 0 1.99564 0.198678 0.257787 0.135927 1.21979
59 0 2.1511 -0.578635 0.186486 0.116357 0.560663
59 0 2.76273 -1.09411 0.252339 0.0631191 0.334837
59 0 3.106 -1.16971 0.441047 0.0447799 0.310455
59 0 3.36335 -3.54191 0.0952013 0.0346191 0.028958
59 0 5.59753 -4.39231 0.419814 0.00370703 0.0123721
60 0 1.05784 -1.40757 0.0110287 0.347206 0.244737
60 0 1.74435 -2.53449 0.00717898 0.174758 0.0793025
60 0 1.79537 -1.20857 0.028649 0.166067 0.298623
60 0 2.13655 -0.470424 0.0867689 0.118062 0.624737
60 0 2.33147 -0.799618 0.0830528 0.0971532 0.449501
60 0 2.62409 -0.0612256 0.253959 0.072506 0.940611
60 0 3.05025 -2.11643 0.0667561 0.0473469 0.120461
60 0 3.87433 -1.82842 0.2175 0.0207683 0.160668
61 0 1.07283 1.58123 0.484424 0.34204 4.86091
62 0 1.07299 0.364628 0.093173 0.341984 1.43998
62 0 1.31934 -1.56482 0.0190787 0.267311 0.209125
62 0 1.41841 -1.63393 0.0200329 0.242099 0.195161
62 0 1.96106 -0.119919 0.159857 0.140709 0.886993
62 0 2.01086 0.556466 0.39249 0.133874 1.7445
62 0 2.11499 -1.1305 0.132695 0.120635 0.322872
62 0 2.54143 -4.40709 0.00884841 0.0787541 0.0121906
63 0 0.974919 -0.874357 0.0244785 0.377223 0.41713
63 0 1.52229 -0.202261 0.0849469 0.218211 0.816881
63 0 1.76625 0.353412 0.206272 0.170973 1.42392
63 0 2.14862 0.337672 0.374695 0.116645 1.40168
63 0 2.90606 -1.57266 0.189153 0.0546906 0.207493
63 0 3.10455 -1.50059 0.305756 0.0448445 0.222998
64 0 1.06301 -1.98624 0.00717342 0.345414 0.137211
64 0 1.627 -0.161556 0.0786497 0.196519 0.850819
64 0 1.63306 -1.0716 0.0345606 0.19533 0.342462
64 0 2.15553 0.172477 0.209248 0.115842 1.18824
64 0 2.8967 -0.0147224 0.460412 0.0552051 0.985385
64 0 3.05208 -3.74085 0.0240065 0.0472604 0.0237339
66 0 1.49541 -0.033338 0.14316 0.224157 0.967212
66 0 1.73274 -0.301632 0.161772 0.176799 0.73961
66 0 2.13102 -0.180042 0.324229 0.118716 0.835235
66 0 2.79894 -1.29552 0.30659 0.0608746 0.273755
66 0 2.80395 -1.50677 0.359699 0.0605702 0.221625
66 0 3.69009 -4.23496 0.0890339 0.0249697 0.0144803
67 0 0.950287 -4.32936 0.00062241 0.38663 0.013176
67 0 1.90802 -0.797153 0.0554963 0.148373 0.45061
67 0 2.3289 0.20549 0.243803 0.097403 1.22813
67 0 2.3957 -0.626935 0.149908 0.0911093 0.534227
67 0 2.85353 -0.285687 0.391999 0.0576405 0.751498
67 0 3.04871 -1.14668 0.331285 0.0474198 0.31769
67 0 3.42729 -3.86006 0.0479685 0.0324749 0.0210666
68 0 1.2223 -0.493534 0.0123143 0.294553 0.610465
68 0 1.5695 1.74584 0.165141 0.208149 5.73069
68 0 2.06127 0.932065 0.143281 0.127292 2.53975
68 0 2.1554 -0.284479 0.0544259 0.115857 0.752406
68 0 2.61513 -1.21355 0.0359975 0.073158 0.29714
68 0 2.96244 0.821467 0.4044 0.0516928 2.27383
68 0 3.2498 0.0282389 0.409366 0.0387818 1.02864
68 0 3.6313 -1.45963 0.229243 0.0264819 0.232323
69 0 0.939437 -3.31688 0.001685 0.390848 0.0362658
69 0 1.47803 -1.50075 0.0177812 0.228086 0.222963
69 0 1.84049 -1.17629 0.0359663 0.158739 0.30842
69 0 2.44479 0.206543 0.272142 0.0867444 1.22942
69 0 3.2175 -3.81168 0.0145625 0.040055 0.022111
69 0 3.30781 -1.91216 0.108088 0.0365961 0.147761
69 0 3.47472 -1.43168 0.231529 0.0309706 0.238908
70 0 1.62817 -3.05172 0.00995015 0.196289 0.0472775
70 0 7.14477 -12.8154 0.000143776 0.000788982 2.71857e-06
71 0 1.06641 1.28039 0.100141 0.344241 3.59805
71 0 1.30848 -0.350264 0.0277568 0.270232 0.704502
71 0 1.81671 1.08786 0.199913 0.16256 2.96793
71 0 1.94617 0.214308 0.1186 0.14282 1.239
71 0 2.31968 -2.00037 0.0213444 0.0983049 0.135285
71 0 2.69828 0.192687 0.285431 0.0673209 1.2125
71 0 3.26563 -0.423871 0.380215 0.0381727 0.654508
72 0 1.12605 1.33359 0.247176 0.324312 3.79464
72 0 1.68162 -0.522021 0.0894568 0.186072 0.59332
72 0 1.96134 0.349721 0.310143 0.14067 1.41867
72 0 2.0114 -0.378612 0.228121 0.133801 0.684811
72 0 2.35285 -0.752459 0.285992 0.095098 0.471207
72 0 2.63878 -0.895226 0.46212 0.0714481 0.408515
73 0 1.21045 -0.843333 0.027147 0.298062 0.430274
73 0 1.50556 -0.813182 0.0386299 0.221894 0.443445
73 0 1.78808 -0.0658652 0.112529 0.167281 0.936257
73 0 1.95004 1.10174 0.478021 0.142268 3.00939
73 0 2.40846 -0.514186 0.287802 0.0899539 0.597987
73 0 2.96981 -0.935058 0.464903 0.0513132 0.392563
73 0 3.40795 -2.95048 0.179441 0.0331092 0.0523144
74 0 1.2235 -0.911171 0.0197407 0.294198 0.402053
74 0 1.58657 1.72392 0.403717 0.204627 5.60649
74 0 2.36724 -1.02204 0.0948575 0.0937394 0.35986
74 0 2.8421 -2.20897 0.051413 0.0583033 0.109813
74 0 3.12991 -0.977596 0.247604 0.0437216 0.376214
74 0 3.42677 -2.32622 0.11495 0.0324918 0.097664
74 0 3.86878 -1.84948 0.325499 0.0208838 0.157319
74 0 4.28777 -3.23478 0.183612 0.0137355 0.0393687
75 0 1.21506 -2.01198 0.00809287 0.296691 0.133724
75 0 2.06599 -0.202073 0.116713 0.126692 0.817035
75 0 2.46834 -0.363263 0.168162 0.0847257 0.695403
75 0 2.53849 -0.741335 0.148527 0.0789856 0.476477
75 0 2.96196 -0.240903 0.439318 0.0517173 0.785918
76 0 1.2349 -0.865694 0.0716509 0.290863 0.420759
76 0 1.28117 -2.23556 0.020538 0.277712 0.106932
76 0 1.42298 0.0256531 0.231595 0.240995 1.02599
76 0 1.80422 -0.0324987 0.415861 0.164602 0.968024
76 0 2.44423 -1.10527 0.461487 0.0867932 0.331121
76 0 3.10269 -2.47037 0.422702 0.0449283 0.0845536
77 0 1.05793 2.14127 0.373052 0.347174 8.51023
77 0 1.18687 -0.76691 0.0368844 0.305175 0.464446
77 0 1.69467 -0.785482 0.0624065 0.183659 0.4559
77 0 1.875 0.943594 0.449035 0.153355 2.5692
77 0 3.53354 -1.65729 0.317611 0.0292014 0.190655
78 0 0.991005 0.971069 0.270606 0.371204 2.64077
78 0 3.21454 -7.74684 0.000560925 0.0401738 0.000432107
80 0 1.42329 -1.00541 0.0460378 0.240921 0.365895
80 0 1.49179 -0.770805 0.0653131 0.224969 0.46264
80 0 1.96385 -0.240176 0.190436 0.140317 0.786489
80 0 2.09255 -1.88923 0.0514108 0.123372 0.151188
80 0 2.28792 -1.12072 0.142016 0.101477 0.326046
80 0 2.53171 -0.571136 0.365914 0.0795229 0.564884
80 0 3.23305 -1.43003 0.492856 0.039437 0.239301
80 0 4.4192 -3.98875 0.246313 0.0120439 0.0185228
81 0 5.73705 -11.8165 4.06497e-05 0.00322428 7.3819e-06
82 0 0.975587 -2.1096 0.00435074 0.376971 0.121286
83 0 3.32633 -0.982262 0.14998 0.0359246 0.374463
83 0 3.44218 -1.8138 0.0862535 0.031995 0.163033
83 0 3.77725 -0.954203 0.311721 0.0228856 0.385119
84 0 1.39659 -1.46896 0.0211934 0.24744 0.230165
84 0 1.42474 -2.34833 0.00924282 0.240571 0.0955286
85 0 1.07968 -1.00157 0.0292687 0.339704 0.367301
85 0 1.61264 0.89484 0.342204 0.19936 2.44694
85 0 1.81945 -0.694123 0.13049 0.162115 0.499512
85 0 2.66081 -0.605635 0.380084 0.0698918 0.545728
85 0 2.71697 -1.33668 0.312206 0.0660747 0.262718
85 0 3.93402 -3.76765 0.134825 0.0195649 0.0231062
86 0 1.17407 -0.0211935 0.0662866 0.309107 0.979029
86 0 1.544 0.202906 0.128384 0.213526 1.22496
86 0 2.04981 -3.29308 0.00740539 0.128759 0.0371392
86 0 2.34377 -2.65231 0.0189971 0.0959654 0.0704882
86 0 2.38923 -2.24634 0.0304137 0.0916998 0.105786
86 0 3.01457 -1.0371 0.196402 0.049067 0.354483
86 0 3.14925 -1.94765 0.112489 0.0428843 0.142609
87 0 1.08108 1.47097 0.241909 0.339227 4.35345
87 0 1.14357 -1.03672 0.0276585 0.318679 0.354615
87 0 1.14656 -2.21754 0.008756 0.317728 0.108876
87 0 1.23775 -0.91006 0.0357716 0.290038 0.4025
87 0 1.75744 0.236661 0.195973 0.172486 1.26701
87 0 1.82161 -1.74189 0.0359227 0.161765 0.175189
87 0 1.86629 0.431629 0.342236 0.154697 1.53976
87 0 2.27429 -2.85093 0.0293626 0.10287 0.0577906
87 0 2.66783 -1.92621 0.113027 0.0694026 0.145699
87 0 2.71673 -2.80742 0.0554376 0.0660903 0.0603602
87 0 3.30477 -2.24933 0.184623 0.0367077 0.10547
87 0 3.48704 -2.85143 0.148799 0.0305914 0.0577619
88 0 0.983434 -3.31974 0.00353778 0.374024 0.0361623
88 0 1.73902 0.348161 0.295899 0.175692 1.41646
88 0 2.0726 -1.8054 0.0680639 0.125858 0.164408
88 0 2.74383 -1.28843 0.239552 0.0643234 0.275704
88 0 3.55408 -2.39713 0.233724 0.0286076 0.0909789
88 0 3.76871 -3.81485 0.0915834 0.0230818 0.022041
88 0 4.66738 -4.24217 0.161523 0.00939686 0.0143764
89 0 3.42029 -0.591283 0.453705 0.0327029 0.553617
89 0 3.72314 -3.25777 0.0781314 0.0241579 0.0384742
90 0 1.01284 -1.22604 0.026403 0.363186 0.293453
90 0 1.35425 -1.1252 0.0422026 0.25814 0.324586
90 0 1.634 -0.139055 0.155865 0.195148 0.87018
90 0 2.03868 -0.314318 0.232233 0.130201 0.730287
90 0 2.41167 -2.51185 0.0487795 0.0896657 0.0811181
90 0 2.74536 -1.35342 0.227948 0.0642254 0.258356
90 0 3.18367 -1.57328 0.36733 0.0414332 0.207364
92 0 1.16557 -0.361828 0.0513792 0.311743 0.696402
92 0 1.42715 -2.6278 0.00729637 0.239992 0.0722373
92 0 1.74018 0.627489 0.259935 0.175488 1.8729
92 0 1.79823 0.876036 0.477162 0.165592 2.40136
